Depth,Temperature,FCond
47.73,26.1394,597.492
47.78,26.1552,597.355
47.83,26.1394,598.014
47.88,26.1377,597.355
47.93,26.1728,596.93
47.98,26.1377,597.925
48.03,26.1761,596.93
48.08,26.1552,597.989
48.13,26.1552,596.97
48.18,26.1529,598.145
48.23,26.1728,597.078
48.28,26.1761,598.318
48.33,26.1728,597.305
48.38,26.1577,598.448
48.43,26.1761,597.672
48.48,26.1728,597.441
48.53,26.1728,598.318
48.58,26.1761,597.142
48.63,26.1903,597.441
48.68,26.1728,598.228
48.73,26.2079,597.403
48.78,26.1865,598.139
48.83,26.1945,598.407
48.88,26.1903,597.759
48.93,26.2033,597.705
48.98,26.2254,598.322
49.03,26.2079,598.312
49.08,26.2129,597.355
49.13,26.2313,597.665
49.18,26.2254,598.67
49.23,26.2313,597.266
49.28,26.2429,597.572
49.33,26.2254,598.355
49.38,26.2429,597.266
49.43,26.2429,598.355
49.48,26.2429,597.046
49.53,26.2429,598.355
49.58,26.2605,597.177
49.63,26.2313,598.135
49.68,26.2605,597.709
49.73,26.2429,598.004
49.78,26.2605,597.307
49.83,26.2496,598.397
49.88,26.2496,597.479
49.93,26.2605,597.753
49.98,26.2496,598.528
50.03,26.2605,597.616
50.08,26.2536,597.219
50.13,26.278,598.318
50.18,26.2605,598.571
50.23,26.278,597.349
50.28,26.2605,598.44
50.33,26.278,597.349
50.38,26.278,598.308
50.43,26.278,597.261
50.48,26.268,598.308
50.53,26.268,597.386
50.58,26.278,597.386
50.63,26.2864,598.44
50.68,26.2605,597.293
50.73,26.2956,597.611
50.78,26.278,598.22
50.83,26.278,597.261
50.88,26.278,598.834
50.93,26.3131,597.653
50.98,26.278,598.526
51.03,26.3131,597.915
51.08,26.2956,598.657
51.13,26.3131,597.827
51.18,26.3231,598.92
51.23,26.3307,597.794
51.28,26.3048,598.438
51.33,26.3131,598.024
51.38,26.3415,597.738
51.43,26.3207,598.803
51.48,26.3307,597.228
51.53,26.3048,598.569
